№	ДОМА ИЗ БАЗЫ	ДОМА ИЗ ГИС ЖКХ	КОД ГИС-ФИАС	УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ
1	А.ГАДЖИЕВА  18	367014, Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 18	a0f2b8e3-acfb-4040-b776-d4fa28067989	ООО «УО -21»
2	А.ГАДЖИЕВА  20	367014, Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 20	df692d94-aeac-4cf7-90c6-5e6ff44ac9f4	ООО «УО – 21»
3	А.ГАДЖИЕВА  20А	Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 20а	e424e935-0484-4c50-8579-de5b311fc4d8	ООО «УО-21»
4	А.ГАДЖИЕВА  20Б	367000, Респ Дагестан, г Махачкала, ул Абдуллы Гаджиева, д. 20Б	cd6e7876-adbc-4c5e-bff4-da5c8842b920	ООО «УО -21»
5	АЙВАЗОВСКОГО   2	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 2	d747594f-d6ae-46ae-b765-c5416f54325f	ООО «УК-16»
6	АЙВАЗОВСКОГО   2А	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 2А	2bb315d4-f4e5-43a8-a783-919b497e0e4e	ООО «УК-16»
7	АЙВАЗОВСКОГО   4	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 4	8c7649ca-f568-4a42-85d8-5a904a195c7c	ООО «УК-16»
8	АЙВАЗОВСКОГО   6	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 6	593d071f-59c6-46c0-b165-f3d7391f609b	ООО «УК-16»
9	АЙВАЗОВСКОГО   6А	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 6А	ce98b214-a341-4417-a330-dc631064f23d	ООО «УК-16»
10	АЙВАЗОВСКОГО   6Б	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 6Б	2cf5221c-4515-4391-9778-d9fd6eda5e51	ООО «УК-16»
11	АЙВАЗОВСКОГО   8	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 8	e347496f-fdd2-4d51-8357-cd3812d1f422	ООО «УК-16»
12	АЙВАЗОВСКОГО   8А	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 8А	adda72d5-5cab-46b6-8db3-946010caa5a5	ООО «УК-16»
13	АЙВАЗОВСКОГО  10	367014, Респ Дагестан, г Махачкала, ул Айвазовского, д. 10	c6b52b08-633d-4d7b-8c20-b04cda7a2fad	ООО «УК-16»
14	АКУШИНСКОГО   1	367008, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 1	068fcbe4-c76f-4c3a-8cab-fcfec0334417	ООО УО «ЖЭУ-14»
15	АКУШИНСКОГО   3	367027, Респ Дагестан, г Махачкала, пр-кт Али-Гаджи Акушинского, д. 3	aa98034e-cd8a-4b8a-96e7-562697c73fb5	ООО УО ЖЭУ -14 
